,model,split,f2_score,n_neighbors,metric,contamination,encoding_dim
199,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_64/,4,0.8392156862745098,10,manhattan,0.05,64
200,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_128/,0,0.8333333333333334,10,manhattan,0.05,128
201,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_128/,1,0.8398744113029827,10,manhattan,0.05,128
202,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_128/,2,0.8386075949367089,10,manhattan,0.05,128
203,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_128/,3,0.8459094519459889,10,manhattan,0.05,128
204,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_128/,4,0.8333333333333334,10,manhattan,0.05,128
205,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_256/,0,0.8333333333333334,10,manhattan,0.05,256
206,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_256/,1,0.8333333333333334,10,manhattan,0.05,256
207,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_256/,2,0.8412698412698413,10,manhattan,0.05,256
208,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_256/,3,0.8333333333333334,10,manhattan,0.05,256
209,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_256/,4,0.8333333333333334,10,manhattan,0.05,256
210,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_64/,0,0.844675740592474,10,manhattan,0.1,64
211,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_64/,1,0.8366375892149088,10,manhattan,0.1,64
212,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_64/,2,0.8475263584752636,10,manhattan,0.1,64
213,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_64/,3,0.8393285371702638,10,manhattan,0.1,64
214,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_64/,4,0.8485329103885805,10,manhattan,0.1,64
215,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_128/,0,0.8333333333333334,10,manhattan,0.1,128
216,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_128/,1,0.8398744113029827,10,manhattan,0.1,128
217,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_128/,2,0.843183609141056,10,manhattan,0.1,128
218,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_128/,3,0.8445678033306899,10,manhattan,0.1,128
219,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_128/,4,0.837245696400626,10,manhattan,0.1,128
220,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_256/,0,0.8366375892149088,10,manhattan,0.1,256
221,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_256/,1,0.8346333853354134,10,manhattan,0.1,256
222,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_256/,2,0.8412698412698413,10,manhattan,0.1,256
223,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_256/,3,0.8346333853354134,10,manhattan,0.1,256
224,n_neighbors_10_metric_manhattan_contamination_0.1_encoding_dim_256/,4,0.8379446640316206,10,manhattan,0.1,256
225,n_neighbors_10_metric_manhattan_contamination_0.2_encoding_dim_64/,0,0.8465189873417721,10,manhattan,0.2,64
