,model,split,f2_score,lr,batch_size,num_epochs,encoding_dim,hidden_dims,activation
140,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",0,0.835421888053467,0.0001,32,20,128,"[2048, 1024, 512]",relu
141,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",1,0.8623481781376519,0.0001,32,20,128,"[2048, 1024, 512]",relu
142,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",2,0.8509771986970684,0.0001,32,20,128,"[2048, 1024, 512]",relu
143,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",3,0.8686786296900489,0.0001,32,20,128,"[2048, 1024, 512]",relu
144,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",4,0.8519108280254777,0.0001,32,20,128,"[2048, 1024, 512]",relu
145,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",0,0.8430717863105175,0.0001,32,20,128,"[2048, 1024, 512]",leaky_relu
146,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",1,0.8595641646489104,0.0001,32,20,128,"[2048, 1024, 512]",leaky_relu
147,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",2,0.8450123660346249,0.0001,32,20,128,"[2048, 1024, 512]",leaky_relu
148,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",3,0.8579638752052545,0.0001,32,20,128,"[2048, 1024, 512]",leaky_relu
149,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",4,0.8532695374800638,0.0001,32,20,128,"[2048, 1024, 512]",leaky_relu
150,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[]_activation_relu/,0,0.8560794044665012,0.0001,32,20,256,[],relu
151,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[]_activation_relu/,1,0.8551554828150573,0.0001,32,20,256,[],relu
152,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[]_activation_relu/,2,0.8532563891178895,0.0001,32,20,256,[],relu
